com.samsung.shealth.report,6210049,3
timezone,start_date,update_time,create_time,type,is_empty,version,deviceuuid,content,pkg_name,datauuid,compressed_content
Asia/Seoul,1609599600000,2021-01-10 07:18:31.646,2021-01-10 07:18:24.270,0,0,2,2lBdpDiteS,X,com.sec.android.app.shealth,5efc3835-2049-4214-994d-92941be26ae3,5efc3835-2049-4214-994d-92941be26ae3.compressed_content.json,
Asia/Seoul,1613833200000,2021-03-04 05:40:03.568,2021-03-04 05:40:02.851,0,1,2,Nz95nEBsYs,X,com.sec.android.app.shealth,ff00589c-4590-49cc-934c-a0a496253b5b,ff00589c-4590-49cc-934c-a0a496253b5b.compressed_content.json,
Asia/Seoul,1581174000000,2020-02-16 07:33:17.684,2020-02-16 07:33:16.236,0,0,2,2lBdpDiteS,X,com.sec.android.app.shealth,b7f0f2b5-8097-400b-addc-d15f959f7cb7,b7f0f2b5-8097-400b-addc-d15f959f7cb7.compressed_content.json,
Asia/Seoul,1567263600000,2019-09-14 06:40:42.853,2019-09-08 06:19:06.915,0,0,2,2lBdpDiteS,X,com.sec.android.app.shealth,852d18ad-d7fd-4044-856d-0e0efb8a13e2,852d18ad-d7fd-4044-856d-0e0efb8a13e2.compressed_content.json,
Asia/Seoul,1584802800000,2020-03-29 08:23:49.704,2020-03-29 08:23:48.424,0,0,2,2lBdpDiteS,X,com.sec.android.app.shealth,3fc37460-2cd1-4e24-bd2e-6c7484a14e8d,3fc37460-2cd1-4e24-bd2e-6c7484a14e8d.compressed_content.json,
Asia/Seoul,1617462000000,2021-04-11 05:40:59.590,2021-04-11 05:40:58.365,0,0,2,Nz95nEBsYs,X,com.sec.android.app.shealth,4c73ae55-2161-4a0a-9641-9aa2e90988ed,4c73ae55-2161-4a0a-9641-9aa2e90988ed.compressed_content.json,
Asia/Seoul,1570892400000,2019-10-21 06:41:13.264,2019-10-20 06:41:09.462,0,0,2,2lBdpDiteS,X,com.sec.android.app.shealth,b03b4e45-f9bf-4485-a418-7f3d2682200c,b03b4e45-f9bf-4485-a418-7f3d2682200c.compressed_content.json,
Asia/Seoul,1588431600000,2020-05-10 06:40:43.872,2020-05-10 06:40:41.929,0,0,2,2lBdpDiteS,X,com.sec.android.app.shealth,9a5e37bf-9d3a-4257-92be-5cd18bd325c3,9a5e37bf-9d3a-4257-92be-5cd18bd325c3.compressed_content.json,
Asia/Seoul,1621090800000,2021-05-23 05:40:00.972,2021-05-23 05:39:01.316,0,0,2,Nz95nEBsYs,X,com.sec.android.app.shealth,cf18da97-7d6b-4b16-b3d2-9ce245ebc5b6,cf18da97-7d6b-4b16-b3d2-9ce245ebc5b6.compressed_content.json,
Asia/Seoul,1574521200000,2019-12-01 07:07:10.874,2019-12-01 07:07:09.384,0,0,2,2lBdpDiteS,X,com.sec.android.app.shealth,96ebc44b-a2f4-4766-9721-dfb6aeeccc6a,96ebc44b-a2f4-4766-9721-dfb6aeeccc6a.compressed_content.json,
